Inscrits;Abstentions;Votants;Blancs;Nuls;Nom;Voix
3873152;956184;2916968;249400;77560;1;1500652
4329082;958841;3370241;312962;127974;1;2011068
5414461;1272754;4141707;371585;117205;1;2452191
2001305;453202;1548103;145595;53864;1;815709
2453233;498305;1954928;171610;56630;1;1301226
1827599;425870;1401729;129941;43065;1;777973
7194953;1820241;5374712;406994;108753;1;3825279
4193817;976955;3216862;299768;123425;1;1759816
4241543;1060184;3181359;252110;100679;1;1497401
2397069;546769;1850300;165820;50946;1;1012062
2705034;580190;2124844;190588;69707;1;1350276
3565160;912932;2652228;227813;68663;1;1306636
233633;84151;149482;12537;7144;1;66819
316062;160452;155610;10321;11344;1;100635
310673;154539;156134;12716;8916;1;104307
92601;53916;38685;3570;1569;1;21769
639391;237141;402250;26385;23867;1;212081
82482;44759;37723;1442;2767;1;19140
3873152;956184;2916968;249400;77560;0;1089356
4329082;958841;3370241;312962;127974;0;918237
5414461;1272754;4141707;371585;117205;0;1200726
2001305;453202;1548103;145595;53864;0;532935
2453233;498305;1954928;171610;56630;0;425462
1827599;425870;1401729;129941;43065;0;450750
7194953;1820241;5374712;406994;108753;0;1033686
4193817;976955;3216862;299768;123425;0;1033853
4241543;1060184;3181359;252110;100679;0;1331169
2397069;546769;1850300;165820;50946;0;621472
2705034;580190;2124844;190588;69707;0;514273
3565160;912932;2652228;227813;68663;0;1049116
233633;84151;149482;12537;7144;0;62982
316062;160452;155610;10321;11344;0;33310
310673;154539;156134;12716;8916;0;30195
92601;53916;38685;3570;1569;0;11777
639391;237141;402250;26385;23867;0;139917
82482;44759;37723;1442;2767;0;14374
