Code de la région;Libellé de la région;Inscrits;Abstentions;Abs_Ins;Votants;Vot_Ins;Blancs;Blancs_Ins;Blancs_Vot;Nuls; Nuls_Ins;Nuls_Vot;Exprimés;Exp_Ins;Exp_Vot;Sexe;Nom;Prénom;Voix;Voix_Ins;Voix_Exp
44;Grand Est;3873152;956184;24,69;2916968;75,31;249400;6,44;8,55;77560;2;2,66;2590008;66,87;88,79;M;MACRON;Emmanuel;1500652;38,74;57,94
75;Nouvelle-Aquitaine;4329082;958841;22,15;3370241;77,85;312962;7,23;9,29;127974;2,96;3,8;2929305;67,67;86,92;M;MACRON;Emmanuel;2011068;46,45;68,65
84;Auvergne et Rhône-Alpes;5414461;1272754;23,51;4141707;76,49;371585;6,86;8,97;117205;2,16;2,83;3652917;67,47;88,2;M;MACRON;Emmanuel;2452191;45,29;67,13
11;Île-de-France;7194953;1820241;25,3;5374712;74,7;406994;5,66;7,57;108753;1,51;2,02;4858965;67,53;90,4;M;MACRON;Emmanuel;3825279;53,17;78,73
76;Occitanie;4193817;976955;23,3;3216862;76,7;299768;7,15;9,32;123425;2,94;3,84;2793669;66,61;86,84;M;MACRON;Emmanuel;1759816;41,96;62,99
93;Provence-Alpes-Côte d'Azur;3565160;912932;25,61;2652228;74,39;227813;6,39;8,59;68663;1,93;2,59;2355752;66,08;88,82;M;MACRON;Emmanuel;1306636;36,65;55,47
44;Grand Est;3873152;956184;24,69;2916968;75,31;249400;6,44;8,55;77560;2;2,66;2590008;66,87;88,79;F;LE PEN;Marine;1089356;28,13;42,06
75;Nouvelle-Aquitaine;4329082;958841;22,15;3370241;77,85;312962;7,23;9,29;127974;2,96;3,8;2929305;67,67;86,92;F;LE PEN;Marine;918237;21,21;31,35
84;Auvergne et Rhône-Alpes;5414461;1272754;23,51;4141707;76,49;371585;6,86;8,97;117205;2,16;2,83;3652917;67,47;88,2;F;LE PEN;Marine;1200726;22,18;32,87
11;Île-de-France;7194953;1820241;25,3;5374712;74,7;406994;5,66;7,57;108753;1,51;2,02;4858965;67,53;90,4;F;LE PEN;Marine;1033686;14,37;21,27
76;Occitanie;4193817;976955;23,3;3216862;76,7;299768;7,15;9,32;123425;2,94;3,84;2793669;66,61;86,84;F;LE PEN;Marine;1033853;24,65;37,01
93;Provence-Alpes-Côte d'Azur;3565160;912932;25,61;2652228;74,39;227813;6,39;8,59;68663;1,93;2,59;2355752;66,08;88,82;F;LE PEN;Marine;1049116;29,43;44,53
