Csp;Nbre_pop;Ville;X.Abs.Ins;X.Vot.Ins
Agriculteurs;65;Montpellier;28.98314601;71.01685399
Chômeurs;16 407;Montpellier;28.98314601;71.01685399
Artisans, commerçants, chefs d'entreprise;5 109;Montpellier;28.98314601;71.01685399
Cadres;22 091;Montpellier;28.98314601;71.01685399
Agriculteurs;88;Perpignan;29.07310417;70.92689583
Chômeurs;6 790;Perpignan;29.07310417;70.92689583
Artisans, commerçants, chefs d'entreprise;2 181;Perpignan;29.07310417;70.92689583
Cadres;3 498;Perpignan;29.07310417;70.92689583
Professions intermédiaires;6 458;Perpignan;29.07310417;70.92689583
Employés;7 509;Perpignan;29.07310417;70.92689583
Ouvriers;4 754;Perpignan;29.07310417;70.92689583
Professions intermédiaires;22 849;Montpellier;29.92687302;70.07312698
Employés;18 780;Montpellier;29.92687302;70.07312698
Ouvriers;10 299;Montpellier;29.92687302;70.07312698
Agriculteurs;86;Nîmes;29.92687302;70.07312698
Chômeurs;7 690;Nîmes;29.92687302;70.07312698
Artisans, commerçants, chefs d'entreprise;2 513;Nîmes;29.92687302;70.07312698
Cadres;5 702;Nîmes;29.92687302;70.07312698
Professions intermédiaires;9 413;Nîmes;29.92687302;70.07312698
Employés;10 641;Nîmes;29.92687302;70.07312698
Ouvriers;5 402;Nîmes;29.92687302;70.07312698
